Prompt: Summarize the business model from the following text. Answer with a continuous text and with fivehundredtwelve tokens at max. Set your focus on sources of revenue , the intended customer base , products , distribution channels  and details of financing. Use only information from the following the text:

Item 1 — Business
DEFINITION OF ABBREVIATIONS AND INDUSTRY TERMS

Xcel Energy Inc.’s Subsidiaries and Affiliates (current and former)
Capital Services | Capital Services, LLC 
Eloigne | Eloigne Company 
NCE | New Century Energies, Inc. 
NSP-Minnesota | Northern States Power Company, a Minnesota corporation 
NSP System | The electric production and transmission system of NSP-Minnesota and NSP-Wisconsin operated on an integrated basis and managed by NSP-Minnesota
NSP-Wisconsin | Northern States Power Company, a Wisconsin corporation 
Operating companies | NSP-Minnesota, NSP-Wisconsin, PSCo and SPS 
PSCo | Public Service Company of Colorado 
SPS | Southwestern Public Service Co. 
Utility subsidiaries | NSP-Minnesota, NSP-Wisconsin, PSCo and SPS 
WGI | WestGas InterState, Inc. 
WYCO | WYCO Development, LLC 
Xcel Energy | Xcel Energy Inc. and its subsidiaries 
XETD | Xcel Energy Transmission Development Company, LLC 
XEST | Xcel Energy Southwest Transmission Company, LLC 
XEWT | Xcel Energy West Transmission Company, LLC 
Federal and State Regulatory Agencies 
ASLB | Atomic Safety and Licensing Board 
CFTC | Commodity Futures Trading Commission 
CPUC | Colorado Public Utilities Commission 
D.C. Circuit | United States Court of Appeals for the District of Columbia Circuit 
DOC | Minnesota Department of Commerce 
DOE | United States Department of Energy 
DOT | United States Department of Transportation 
EPA | United States Environmental Protection Agency 
FERC | Federal Energy Regulatory Commission 
IRS | Internal Revenue Service 
MPCA | Minnesota Pollution Control Agency 
MPSC | Michigan Public Service Commission 
MPUC | Minnesota Public Utilities Commission 
NDPSC | North Dakota Public Service Commission 
NERC | North American Electric Reliability Corporation 
NMPRC | New Mexico Public Regulation Commission 
NRC | Nuclear Regulatory Commission 
PHMSA | Pipeline and Hazardous Materials Safety Administration 
PNM | Public Service Company of New Mexico 
PSCW | Public Service Commission of Wisconsin 
PUCT | Public Utility Commission of Texas 
SDPUC | South Dakota Public Utilities Commission 
SEC | Securities and Exchange Commission 

3


Electric, Purchased Gas and Resource Adjustment Clauses
CIP | Conservation improvement program 
DCRF | Distribution cost recovery factor 
DSM | Demand side management 
DSMCA | Demand side management cost adjustment 
ECA | Retail electric commodity adjustment 
EE | Energy efficiency 
EECRF | Energy efficiency cost recovery factor 
EIR | Environmental improvement rider (recovers the costs associated with investments inenvironmental improvements to fossil fuel generation plants) 
EPU | Extended power uprate 
ERP | Electric resource plan 
FCA | Fuel clause adjustment 
FPPCAC | Fuel and purchased power cost adjustment clause 
GCA | Gas cost adjustment 
GUIC | Gas utility infrastructure cost rider 
PCCA | Purchased capacity cost adjustment 
PCRF | Power cost recovery factor (recovers the costs of certain purchased power costs) 
PGA | Purchased gas adjustment 
QSP | Quality of service plan 
RDF | Renewable development fund 
RER | Renewable energy rider 
RES | Renewable energy standard (recovers the costs of new renewable generation) 
RESA | Renewable energy standard adjustment 
SCA | Steam cost adjustment 
TCA | Transmission cost adjustment 
TCR | Transmission cost recovery adjustment 
TCRF | Transmission cost recovery factor (recovers transmission infrastructure improvement costsand changes in wholesale transmission charges) 
Other Terms and Abbreviations 
AFUDC | Allowance for funds used during construction 
ATM | At-the-market 
ALJ | Administrative law judge 
APBO | Accumulated postretirement benefit obligation 
ARO | Asset retirement obligation 
ASU | FASB Accounting Standards Update 
BART | Best available retrofit technology 
C&I | Commercial and Industrial 
CAA | Clean Air Act 
CACJA | Clean Air Clean Jobs Act 
CAIR | Clean Air Interstate Rule 
CapX2020 | Alliance of electric cooperatives, municipals and investor-owned utilities in the upperMidwest involved in a joint transmission line planning and construction effort
CCN | Certificate of convenience and necessity 
CIG | Colorado Interstate Gas Company, LLC 
CO2 | Carbon dioxide 

4


CON | Certificate of need 
CPCN | Certificate of public convenience and necessity 
CPP | Clean Power Plan 
CSAPR | Cross-State Air Pollution Rule 
CWIP | Construction work in progress 
EEI | Edison Electric Institute 
EGU | Electric generating unit 
EPS | Earnings per share 
ERCOT | Electric Reliability Council of Texas 
ETR | Effective tax rate 
FASB | Financial Accounting Standards Board 
FIP | Federal implementation plan 
FTR | Financial transmission right 
GAAP | Generally accepted accounting principles 
GHG | Greenhouse gas 
Golden Spread | Golden Spread Electric Cooperative, Inc. 
HTY | Historic test year 
IM | Integrated market 
IPP | Independent power producers 
ISFSI | Independent Spent Fuel Storage Installation 
ITC | Investment Tax Credit 
LCM | Life cycle management 
LLW | Low-level radioactive waste 
LNG | Liquefied natural gas 
MGP | Manufactured gas plant 
MISO | Midcontinent Independent System Operator, Inc. 
Moody’s | Moody’s Investor Services 
MYP | Multi-year plan 
NAAQS | National Ambient Air Quality Standard 
Native load | Customer demand of retail and wholesale customers that a utility has an obligation to serveunder statute or long-term contract
NAV | Net asset value 
NOL | Net operating loss 
NOx | Nitrogen oxide 
NOV | Notice of violation 
NTC | Notifications to construct 
NYISO | New York Independent System Operator 
O&M | Operating and maintenance 
OCC | Office of Consumer Counsel 
OCI | Other comprehensive income 
PCB | Polychlorinated biphenyl 
PFS | Private Fuel Storage, LLC 
PI | Prairie Island nuclear generating plant 
PJM | PJM Interconnection, LLC 
PM | Particulate matter 
PPA | Purchased power agreement 
PRP | Potentially responsible party 
PTC | Production tax credit 
PV | Photovoltaic 
QF | Qualifying facilities 
R&E | Research and experimentation 
REC | Renewable energy credit 

5


RFP | Request for proposal 
ROE | Return on equity 
RPS | Renewable portfolio standards 
RTO | Regional Transmission Organization
SIP | State implementation plan 
SO2 | Sulfur dioxide 
SPP | Southwest Power Pool, Inc. 
S&P | Standard & Poor’s Ratings Services
TO | Transmission owner 
TransCo | Transmission-only subsidiary 
TSR | Total shareholder return 
Measurements | 
Bcf | Billion cubic feet 
GWh | Gigawatt hours 
KV | Kilovolts 
KWh | Kilowatt hours 
Mcf | Thousand cubic feet 
MMBtu | Million British thermal units 
MW | Megawatts 
MWh | Megawatt hours 

6

COMPANY OVERVIEW
Xcel Energy Inc. is a holding company with subsidiaries engaged primarily in the utility business. In 2016, Xcel Energy Inc.’s continuing operations included the activity of four wholly owned utility subsidiaries that serve electric and natural gas customers in eight states. These utility subsidiaries are NSP-Minnesota, NSP-Wisconsin, PSCo and SPS, and serve customers in portions of Colorado, Michigan, Minnesota, New Mexico, North Dakota, South Dakota, Texas and Wisconsin. Along with WYCO, a joint venture formed with CIG to develop and lease natural gas pipelines, storage, and compression facilities, and WGI, an interstate natural gas pipeline company, these companies comprise the regulated utility operations.
Xcel Energy Inc. was incorporated under the laws of Minnesota in 1909. Xcel Energy’s executive offices are located at 414 Nicollet Mall, Minneapolis, Minn. 55401. Its website address is www.xcelenergy.com. Xcel Energy makes available, free of charge through its website, its annual report on Form 10-K, quarterly reports on Form 10-Q, current reports on Form 8-K and all amendments to those reports filed or furnished pursuant to Section 13(a) or 15(d) of the Securities Exchange Act of 1934 as soon as reasonably practicable after the reports are electronically filed with or furnished to the SEC. The public may read and copy any materials that Xcel Energy files with the SEC at the SEC’s Public Reference Room at 100 F Street, N.E., Washington, D.C. 20549. The public may obtain information on the operation of the Public Reference Room by calling the SEC at 1-800-SEC-0330. The SEC also maintains an internet site that contains reports, proxy and information statements, and other information regarding issuers that file electronically with the SEC at http://www.sec.gov.
NSP-Minnesota
NSP-Minnesota is a utility primarily engaged in the generation, purchase, transmission, distribution and sale of electricity in Minnesota, North Dakota and South Dakota. The wholesale customers served by NSP-Minnesota comprised approximately 13 percent of its total KWh sold in 2016. NSP-Minnesota also purchases, transports, distributes and sells natural gas to retail customers and transports customer-owned natural gas in Minnesota and North Dakota. NSP-Minnesota provides electric utility service to approximately 1.5 million customers and natural gas utility service to approximately 0.5 million customers. Approximately 88 percent of NSP-Minnesota’s retail electric operating revenues were derived from operations in Minnesota during 2016 and 2015. Although NSP-Minnesota’s large C&I electric retail customers are comprised of many diversified industries, a significant portion of NSP-Minnesota’s large C&I electric sales include the following industries: petroleum, coal and food products. For small C&I customers, significant electric retail sales include the following industries: real estate and educational services. Generally, NSP-Minnesota’s earnings contribute approximately 35 percent to 45 percent of Xcel Energy’s consolidated net income.
The electric production and transmission costs of the entire NSP System are shared by NSP-Minnesota and NSP-Wisconsin. A FERC-approved Interchange Agreement between the two companies provides for the sharing of all generation and transmission costs of the NSP System.
NSP-Minnesota owns the following direct subsidiary: United Power and Land Company, which holds real estate.
NSP-Wisconsin
NSP-Wisconsin is a utility primarily engaged in the generation, transmission, distribution and sale of electricity in portions of northwestern Wisconsin and in the western portion of the Upper Peninsula of Michigan. NSP-Wisconsin purchases, transports, distributes and sells natural gas to retail customers and transports customer-owned natural gas in this service territory. NSP-Wisconsin provides electric utility service to approximately 257,000 customers and natural gas utility service to approximately 113,000 customers. Approximately 98 percent of NSP-Wisconsin’s retail electric operating revenues were derived from operations in Wisconsin during 2016 and 2015. Although NSP-Wisconsin’s large C&I electric retail customers are comprised of many diversified industries, a significant portion of NSP-Wisconsin’s large C&I electric sales include the following industries: food products, paper, allied products and petroleum pipelines. For small C&I customers, significant electric retail sales include the following industries: grocery and dining establishments, educational services and health services. Generally, NSP-Wisconsin’s earnings contribute approximately five percent to 10 percent of Xcel Energy’s consolidated net income.
The management of the electric production and transmission system of NSP-Wisconsin is integrated with NSP-Minnesota.
NSP-Wisconsin owns the following direct subsidiaries: Chippewa and Flambeau Improvement Co., which operates hydro reservoirs; Clearwater Investments Inc., which owns interests in affordable housing; and NSP Lands, Inc., which holds real estate.
7

PSCo
PSCo is a utility engaged primarily in the generation, purchase, transmission, distribution and sale of electricity in Colorado. The wholesale customers served by PSCo comprised approximately 14 percent of its total KWh sold in 2016. PSCo also purchases, transports, distributes and sells natural gas to retail customers and transports customer-owned natural gas. PSCo provides electric utility service to approximately 1.4 million customers and natural gas utility service to approximately 1.4 million customers. All of PSCo’s retail electric operating revenues were derived from operations in Colorado during 2016. Although PSCo’s large C&I electric retail customers are comprised of many diversified industries, a significant portion of PSCo’s large C&I electric sales include the following industries: fabricated metal products, communications and health services. For small C&I customers, significant electric retail sales include the following industries: real estate and dining establishments. Generally, PSCo’s earnings contribute approximately 35 percent to 45 percent of Xcel Energy’s consolidated net income.
PSCo owns the following direct subsidiaries: 1480 Welton, Inc. and United Water Company, both of which own certain real estate interests; and Green and Clear Lakes Company, which owns water rights and certain real estate interests. PSCo also holds a controlling interest in several other relatively small ditch and water companies.
SPS
SPS is a utility engaged primarily in the generation, purchase, transmission, distribution and sale of electricity in portions of Texas and New Mexico. The wholesale customers served by SPS comprised approximately 31 percent of its total KWh sold in 2016. SPS provides electric utility service to approximately 389,000 retail customers in Texas and New Mexico. Approximately 71 percent of SPS’ retail electric operating revenues were derived from operations in Texas during 2016 and 2015. Although SPS’ large C&I electric retail customers are comprised of many diversified industries, a significant portion of SPS’ large C&I electric sales include the following industries: oil and gas extraction, as well as petroleum and natural gas products. For small C&I customers, significant electric retail sales include the following industries: oil and gas extraction, grocery and dining establishments. Generally, SPS’ earnings contribute approximately 10 percent to 15 percent of Xcel Energy’s consolidated net income. 
Other Subsidiaries
WGI is a small interstate natural gas pipeline company engaged in transporting natural gas from the PSCo system near Chalk Bluffs, Colo., to Cheyenne, Wyo.
WYCO was formed as a joint venture with CIG to develop and lease natural gas pipeline, storage, and compression facilities. Xcel Energy has a 50 percent ownership interest in WYCO. The gas pipeline and storage facilities are leased under a FERC-approved agreement to CIG.
Xcel Energy Services Inc. is the service company for Xcel Energy Inc.
XETD and XEST are transmission-only subsidiaries that will, respectively, participate in MISO and SPP competitive bidding processes for transmission projects. XEWT is a transmission-only subsidiary formed to competitively bid on transmission projects in the western United States.
Xcel Energy Inc.’s nonregulated subsidiaries are Eloigne and Capital Services. Eloigne invests in rental housing projects that qualify for low-income housing tax credits, and Capital Services procures equipment for construction of renewable generation facilities at other subsidiaries.
Xcel Energy conducts its utility business in the following reportable segments: regulated electric utility, regulated natural gas utility and all other. See Note 17 to the consolidated financial statements for further discussion relating to comparative segment revenues, income from operations and related financial information.
8

ELECTRIC UTILITY OPERATIONS
NSP-Minnesota
Public Utility Regulation
Summary of Regulatory Agencies and Areas of Jurisdiction — Retail rates, services and other aspects of NSP-Minnesota’s operations are regulated by the MPUC, the NDPSC and the SDPUC within their respective states. The MPUC also has regulatory authority over security issuances, property transfers, mergers, dispositions of assets and transactions between NSP-Minnesota and its affiliates. In addition, the MPUC reviews and approves NSP-Minnesota’s ERPs for meeting customers’ future energy needs. The MPUC also certifies the need and siting for generating plants greater than 50 MW and transmission lines greater than 100 KV that will be located within the state. No large power plant or transmission line may be constructed in Minnesota except on a site or route designated by the MPUC. The NDPSC and SDPUC have regulatory authority over generation and transmission facilities, along with the siting and routing of new generation and transmission facilities in North Dakota and South Dakota, respectively.
NSP-Minnesota is subject to the jurisdiction of the FERC with respect to its wholesale electric operations, hydroelectric licensing, accounting practices, wholesale sales for resale, transmission of electricity in interstate commerce, compliance with NERC electric reliability standards, asset transfers and mergers, and natural gas transactions in interstate commerce. NSP-Minnesota operates within the MISO RTO and MISO wholesale market and is authorized to make wholesale electric sales at market-based prices. NSP-Minnesota is a transmission owning member of the MISO RTO.
Fuel, Purchased Energy and Conservation Cost-Recovery Mechanisms — NSP-Minnesota has several retail adjustment clauses that recover fuel, purchased energy and other resource costs:

• | CIP — Recovers the costs of conservation and demand-side management programs that help customers save energy.


• | EIR — Recovers the costs of environmental improvement projects.


• | RDF — Allocates money collected from retail customers to support the research and development of emerging renewable energy projects and technologies.


• | RES — Recovers the cost of renewable generation in Minnesota.


• | RER — Recovers the cost of renewable generation in North Dakota.


• | SEP — Recovers costs related to various energy policies approved by the Minnesota legislature.


• | TCR — Recovers costs associated with investments in electric transmission and distribution grid modernization costs.


• | Infrastructure rider — Recovers costs for investments in generation and incremental property taxes in South Dakota.

NSP-Minnesota’s retail electric rates in Minnesota, North Dakota and South Dakota include a FCA for monthly billing adjustments to recover changes in prudently incurred costs of fuel related items and purchased energy. In general, capacity costs are recovered through base rates and are not recovered through the FCA. In addition, costs associated with MISO are generally recovered through either the FCA or base rates.
Minnesota state law requires NSP-Minnesota to invest two percent of its state electric revenues and half a percent of its state gas revenues in CIP. These costs are recovered through an annual cost-recovery mechanism for electric conservation and energy management program expenditures. Minnesota state law also requires NSP-Minnesota to submit a CIP plan at least every three years.
CIP Triennial Plan — In 2016, the DOC approved NSP-Minnesota’s 2017 through 2019 CIP Triennial Plan, which maintained the energy savings goals and allowed for slight budget increases over the previous plan. The plan sets an annual energy savings goal for electric of saving the equivalent of 1.5 percent of the volume of electric energy sales and an annual natural gas goal of saving 1.0 percent of the volume of gas energy sales. 
Capacity and Demand
Uninterrupted system peak demand for the NSP System’s electric utility for each of the last three years and the forecast for 2017, assuming normal weather conditions, is as follows:

